_openid,title,bookurl 
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java TCP/IP Socket编程,https://book.douban.com/subject/3519369/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Scala程序设计 : Java虚拟机多核编程实战,https://book.douban.com/subject/4909629/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java编程语言,https://book.douban.com/subject/1230098/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,明解Java,https://book.douban.com/subject/30142951/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,你必须知道的261个Java语言问题,https://book.douban.com/subject/4137365/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,实战Java高并发程序设计（第2版）,https://book.douban.com/subject/30358019/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,代码不朽：编写可维护软件的10大要则（Java版）,https://book.douban.com/subject/26894418/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,微服务架构设计模式,https://book.douban.com/subject/33425123/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java EE互联网轻量级框架整合开发 : SSM框架（Spring MVC+Spring+MyBatis）和Redis实现,https://book.douban.com/subject/27090950/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Thinking in Java (3rd Edition) : Thinking in Java,Third Edition 英文电子版,https://book.douban.com/subject/1229955/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Effective Java : Programming Language Guide (Java Series),https://book.douban.com/subject/1246129/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,编写高质量代码 : 改善Java程序的151个建议,https://book.douban.com/subject/7059903/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,精通Hibernate : Java对象持久化技术详解.,https://book.douban.com/subject/1315050/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,面向对象程序设计-Java : Java,https://book.douban.com/subject/1725491/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java : The Good Parts,https://book.douban.com/subject/4822875/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Practical API Design : Confessions of a Java Framework Architect,https://book.douban.com/subject/3178601/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,爪哇夜未眠（第二版） : Java程序员心声,https://book.douban.com/subject/1168545/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,项目自动化之道 : 如何建构部署监控Java应用,https://book.douban.com/subject/1449002/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java Generics and Collections : Speed Up the Java Development Process,https://book.douban.com/subject/2303830/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java语言程序设计（进阶篇）（原书第10版） : 进阶篇,https://book.douban.com/subject/27004889/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,面向对象程序设计 : JAVA,https://book.douban.com/subject/1684685/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java : The Complete Reference, J2SE 5 Edition,https://book.douban.com/subject/1246137/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,21天学通Java,https://book.douban.com/subject/3413682/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java : A Beginner's Guide,https://book.douban.com/subject/24132329/
